name,spatial_dict,sweep
15.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('square', 'black'), (2, 1): ('square', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('triangle', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'white'), (2, 1): ('square', 'white'), (2, 2): ('circle', 'black')}]","(3, 3, 3)"
16.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('circle', 'white'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('circle', 'white'), (2, 1): ('square', 'black'), (2, 2): ('circle', 'black')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('square', 'white')}]","(3, 3, 3)"
17.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'white'), (2, 0): ('square', 'white'), (2, 1): ('square', 'black'), (2, 2): ('circle', 'white')}, {(0, 0): ('triangle', 'black'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('circle', 'black')}]","(3, 3, 3)"
18.svg,"[{(0, 0): ('circle', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('triangle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('square', 'white')}]","(3, 3, 3)"
19.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('circle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'black')}, {(0, 0): ('triangle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'white'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('square', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('square', 'black')}]","(3, 3, 3)"
20.svg,"[{(0, 0): ('triangle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('triangle', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('square', 'white'), (2, 0): ('square', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('square', 'white'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('square', 'white'), (2, 2): ('square', 'black')}, {(0, 0): ('triangle', 'black'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('circle', 'white')}]","(3, 3, 5)"
21.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('square', 'black'), (0, 2): ('square', 'white'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('circle', 'white')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('triangle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('square', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('square', 'black'), (1, 2): ('square', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('circle', 'black')}, {(0, 0): ('square', 'white'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('triangle', 'black'), (2, 2): ('triangle', 'black')}]","(3, 3, 5)"
22.svg,"[{(0, 0): ('square', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'black')}, {(0, 0): ('circle', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('square', 'black'), (1, 0): ('triangle', 'black'), (1, 1): ('square', 'black'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'black'), (1, 0): ('triangle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'black')}]","(3, 3, 5)"
23.svg,"[{(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('square', 'black'), (2, 0): ('circle', 'white'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('triangle', 'white'), (0, 1): ('triangle', 'white'), (0, 2): ('square', 'black'), (1, 0): ('square', 'white'), (1, 1): ('square', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('circle', 'white')}, {(0, 0): ('circle', 'black'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('circle', 'white')}]","(3, 3, 5)"
24.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('triangle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'black'), (1, 1): ('square', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('square', 'black'), (1, 0): ('triangle', 'black'), (1, 1): ('square', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('square', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'black'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('triangle', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'black'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'black')}]","(3, 3, 5)"
25.svg,"[{(0, 0): ('triangle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'white'), (1, 1): ('square', 'white'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'white'), (1, 2): ('triangle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('square', 'black'), (2, 2): ('square', 'black')}, {(0, 0): ('triangle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'black'), (0, 2): ('circle', 'white'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('square', 'white'), (2, 2): ('square', 'white')}]","(3, 3, 5)"
26.svg,"[{(0, 0): ('triangle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('triangle', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'black'), (0, 1): ('square', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('circle', 'black'), (1, 2): ('square', 'white'), (2, 0): ('square', 'white'), (2, 1): ('square', 'white'), (2, 2): ('triangle', 'black')}, {(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('triangle', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('square', 'white'), (2, 0): ('circle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'white'), (2, 2): ('square', 'black')}]","(3, 3, 5)"
27.svg,"[{(0, 0): ('triangle', 'black'), (0, 1): ('square', 'white'), (0, 2): ('triangle', 'white'), (1, 0): ('square', 'black'), (1, 1): ('square', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('square', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'black'), (1, 1): ('square', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('circle', 'white'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'black')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('circle', 'black'), (1, 1): ('triangle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('circle', 'white'), (2, 1): ('square', 'black'), (2, 2): ('triangle', 'white')}, {(0, 0): ('square', 'black'), (0, 1): ('circle', 'black'), (0, 2): ('triangle', 'white'), (1, 0): ('square', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('circle', 'black'), (2, 0): ('triangle', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('circle', 'black')}]","(3, 3, 5)"
28.svg,"[{(0, 0): ('square', 'white'), (0, 1): ('square', 'white'), (0, 2): ('circle', 'black'), (1, 0): ('triangle', 'black'), (1, 1): ('square', 'white'), (1, 2): ('triangle', 'white'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'white'), (2, 2): ('square', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('triangle', 'black'), (2, 0): ('square', 'white'), (2, 1): ('circle', 'white'), (2, 2): ('triangle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('square', 'black'), (0, 2): ('triangle', 'white'), (1, 0): ('triangle', 'white'), (1, 1): ('triangle', 'black'), (1, 2): ('square', 'black'), (2, 0): ('circle', 'white'), (2, 1): ('triangle', 'white'), (2, 2): ('square', 'white')}, {(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('square', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('square', 'black'), (2, 1): ('triangle', 'black'), (2, 2): ('circle', 'black')}, {(0, 0): ('triangle', 'white'), (0, 1): ('circle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('square', 'black'), (1, 1): ('circle', 'black'), (1, 2): ('triangle', 'white'), (2, 0): ('triangle', 'black'), (2, 1): ('square', 'black'), (2, 2): ('circle', 'white')}]","(3, 3, 5)"
29.svg,"[{(0, 0): ('circle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'white'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('triangle', 'black'), (2, 0): ('circle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'black')}, {(0, 0): ('triangle', 'black'), (0, 1): ('square', 'white'), (0, 2): ('square', 'white'), (1, 0): ('square', 'white'), (1, 1): ('triangle', 'white'), (1, 2): ('circle', 'black'), (2, 0): ('circle', 'black'), (2, 1): ('triangle', 'white'), (2, 2): ('circle', 'white')}, {(0, 0): ('square', 'white'), (0, 1): ('triangle', 'black'), (0, 2): ('square', 'black'), (1, 0): ('square', 'white'), (1, 1): ('circle', 'black'), (1, 2): ('circle', 'white'), (2, 0): ('square', 'white'), (2, 1): ('triangle', 'black'), (2, 2): ('circle', 'white')}, {(0, 0): ('circle', 'white'), (0, 1): ('circle', 'white'), (0, 2): ('triangle', 'black'), (1, 0): ('square', 'white'), (1, 1): ('square', 'white'), (1, 2): ('square', 'white'), (2, 0): ('circle', 'white'), (2, 1): ('circle', 'black'), (2, 2): ('triangle', 'black')}, {(0, 0): ('triangle', 'black'), (0, 1): ('triangle', 'black'), (0, 2): ('circle', 'black'), (1, 0): ('circle', 'white'), (1, 1): ('circle', 'white'), (1, 2): ('square', 'black'), (2, 0): ('square', 'black'), (2, 1): ('circle', 'black'), (2, 2): ('square', 'black')}]","(3, 3, 5)"
