filename,answer,sweep
109.png,4,"[0.12, 3, 1, 3]"
110.png,4,"[0.12, 3, 3, 1]"
111.png,3,"[0.12, 3, 3, 3]"
112.png,2,"[0.14, 1, 1, 1]"
113.png,3,"[0.14, 1, 1, 3]"
114.png,2,"[0.14, 1, 3, 1]"
115.png,3,"[0.14, 1, 3, 3]"
116.png,3,"[0.14, 3, 1, 1]"
117.png,3,"[0.14, 3, 1, 3]"
118.png,2,"[0.14, 3, 3, 1]"
119.png,3,"[0.14, 3, 3, 3]"
120.png,1,"[0.1, 1, 1, 1]"
121.png,1,"[0.1, 1, 1, 3]"
122.png,2,"[0.1, 1, 3, 1]"
123.png,2,"[0.1, 1, 3, 3]"
124.png,2,"[0.1, 3, 1, 1]"
125.png,1,"[0.1, 3, 1, 3]"
126.png,1,"[0.1, 3, 3, 1]"
127.png,3,"[0.1, 3, 3, 3]"
128.png,1,"[0.12, 1, 1, 1]"
129.png,2,"[0.12, 1, 1, 3]"
130.png,2,"[0.12, 1, 3, 1]"
131.png,4,"[0.12, 1, 3, 3]"
132.png,2,"[0.12, 3, 1, 1]"
133.png,4,"[0.12, 3, 1, 3]"
134.png,1,"[0.12, 3, 3, 1]"
135.png,4,"[0.12, 3, 3, 3]"
136.png,3,"[0.14, 1, 1, 1]"
137.png,4,"[0.14, 1, 1, 3]"
138.png,4,"[0.14, 1, 3, 1]"
139.png,1,"[0.14, 1, 3, 3]"
140.png,4,"[0.14, 3, 1, 1]"
141.png,3,"[0.14, 3, 1, 3]"
142.png,3,"[0.14, 3, 3, 1]"
143.png,2,"[0.14, 3, 3, 3]"
144.png,2,"[0.1, 1, 1, 1]"
145.png,3,"[0.1, 1, 1, 3]"
146.png,4,"[0.1, 1, 3, 1]"
147.png,4,"[0.1, 1, 3, 3]"
148.png,2,"[0.1, 3, 1, 1]"
149.png,2,"[0.1, 3, 1, 3]"
150.png,4,"[0.1, 3, 3, 1]"
151.png,3,"[0.1, 3, 3, 3]"
152.png,2,"[0.12, 1, 1, 1]"
153.png,2,"[0.12, 1, 1, 3]"
154.png,1,"[0.12, 1, 3, 1]"
155.png,1,"[0.12, 1, 3, 3]"
156.png,3,"[0.12, 3, 1, 1]"
157.png,1,"[0.12, 3, 1, 3]"
158.png,1,"[0.12, 3, 3, 1]"
159.png,4,"[0.12, 3, 3, 3]"
160.png,4,"[0.14, 1, 1, 1]"
161.png,3,"[0.14, 1, 1, 3]"
162.png,1,"[0.14, 1, 3, 1]"
163.png,4,"[0.14, 1, 3, 3]"
164.png,1,"[0.14, 3, 1, 1]"
165.png,3,"[0.14, 3, 1, 3]"
166.png,3,"[0.14, 3, 3, 1]"
167.png,3,"[0.14, 3, 3, 3]"
