filename,shape_dictionary,sweep
sweep_13_0.svg,"{'triangle': 2, 'hexagon': 7, 'star': 2, 'rectangle': 5, 'pentagon': 1, 'octagon': 3, 'circle': 4}","(7, 3, -20)"
sweep_13_1.svg,"{'star': 5, 'pentagon': 5, 'circle': 4, 'rectangle': 1, 'triangle': 2, 'hexagon': 2, 'octagon': 4}","(7, 3, -20)"
sweep_13_2.svg,"{'hexagon': 4, 'rectangle': 5, 'circle': 2, 'star': 2, 'pentagon': 1, 'octagon': 3, 'triangle': 1}","(7, 3, -20)"
sweep_13_3.svg,"{'pentagon': 4, 'triangle': 4, 'circle': 1, 'octagon': 5, 'hexagon': 4, 'rectangle': 3}","(7, 3, -20)"
sweep_13_4.svg,"{'triangle': 1, 'octagon': 1, 'star': 1, 'circle': 2, 'pentagon': 3, 'hexagon': 3, 'rectangle': 4}","(7, 3, -20)"
sweep_13_5.svg,"{'circle': 3, 'star': 2, 'triangle': 1, 'pentagon': 4, 'octagon': 6, 'rectangle': 5}","(7, 3, -20)"
sweep_13_6.svg,"{'hexagon': 2, 'octagon': 1, 'circle': 2, 'pentagon': 1, 'star': 1, 'rectangle': 5, 'triangle': 2}","(7, 3, -20)"
sweep_13_7.svg,"{'hexagon': 3, 'rectangle': 1, 'pentagon': 2, 'circle': 3, 'triangle': 3, 'octagon': 2, 'star': 2}","(7, 3, -20)"
sweep_13_8.svg,"{'octagon': 6, 'pentagon': 2, 'rectangle': 1, 'star': 1, 'circle': 1, 'triangle': 2, 'hexagon': 1}","(7, 3, -20)"
sweep_13_9.svg,"{'octagon': 4, 'hexagon': 2, 'pentagon': 2, 'rectangle': 6, 'star': 2, 'triangle': 2, 'circle': 3}","(7, 3, -20)"
sweep_14_0.svg,"{'star': 3, 'circle': 3, 'rectangle': 2, 'triangle': 3, 'hexagon': 7, 'pentagon': 4, 'octagon': 1}","(7, 3, -30)"
sweep_14_1.svg,"{'pentagon': 2, 'circle': 1, 'triangle': 2, 'hexagon': 1, 'rectangle': 7, 'star': 4, 'octagon': 1}","(7, 3, -30)"
sweep_14_2.svg,"{'pentagon': 5, 'rectangle': 3, 'triangle': 2, 'hexagon': 4, 'octagon': 2, 'circle': 5, 'star': 3}","(7, 3, -30)"
sweep_14_3.svg,"{'hexagon': 3, 'octagon': 2, 'star': 3, 'circle': 2, 'pentagon': 4, 'rectangle': 2, 'triangle': 4}","(7, 3, -30)"
sweep_14_4.svg,"{'pentagon': 3, 'star': 7, 'circle': 1, 'rectangle': 5, 'hexagon': 1, 'octagon': 1, 'triangle': 2}","(7, 3, -30)"
sweep_14_5.svg,"{'hexagon': 1, 'triangle': 6, 'star': 5, 'circle': 5, 'pentagon': 3, 'octagon': 7, 'rectangle': 2}","(7, 3, -30)"
sweep_14_6.svg,"{'rectangle': 5, 'hexagon': 4, 'triangle': 3, 'pentagon': 3, 'star': 2, 'octagon': 6, 'circle': 1}","(7, 3, -30)"
sweep_14_7.svg,"{'octagon': 6, 'triangle': 3, 'circle': 1, 'star': 1, 'pentagon': 5, 'rectangle': 3, 'hexagon': 3}","(7, 3, -30)"
sweep_14_8.svg,"{'rectangle': 6, 'circle': 1, 'pentagon': 1, 'triangle': 1, 'hexagon': 3, 'octagon': 3, 'star': 4}","(7, 3, -30)"
sweep_14_9.svg,"{'pentagon': 2, 'hexagon': 3, 'triangle': 1, 'octagon': 5, 'circle': 2, 'rectangle': 2, 'star': 2}","(7, 3, -30)"
sweep_15_0.svg,"{'triangle': 8, 'rectangle': 5, 'octagon': 1, 'circle': 3, 'pentagon': 4, 'star': 1, 'hexagon': 4}","(7, 3, -40)"
sweep_15_1.svg,"{'rectangle': 2, 'star': 6, 'pentagon': 4, 'octagon': 2, 'hexagon': 4, 'triangle': 3, 'circle': 5}","(7, 3, -40)"
sweep_15_2.svg,"{'hexagon': 1, 'rectangle': 4, 'star': 2, 'pentagon': 2, 'octagon': 2, 'circle': 3, 'triangle': 1}","(7, 3, -40)"
sweep_15_3.svg,"{'octagon': 2, 'triangle': 5, 'circle': 4, 'hexagon': 3, 'rectangle': 3, 'star': 1, 'pentagon': 3}","(7, 3, -40)"
sweep_15_4.svg,"{'circle': 8, 'pentagon': 3, 'star': 4, 'hexagon': 6, 'octagon': 7, 'rectangle': 1, 'triangle': 3}","(7, 3, -40)"
sweep_15_5.svg,"{'triangle': 1, 'circle': 5, 'pentagon': 4, 'octagon': 4, 'star': 2, 'rectangle': 2, 'hexagon': 4}","(7, 3, -40)"
sweep_15_6.svg,"{'hexagon': 3, 'octagon': 2, 'rectangle': 4, 'pentagon': 1, 'triangle': 6, 'star': 4, 'circle': 3}","(7, 3, -40)"
sweep_15_7.svg,"{'star': 3, 'octagon': 2, 'hexagon': 5, 'pentagon': 2, 'circle': 6, 'triangle': 1, 'rectangle': 8}","(7, 3, -40)"
sweep_15_8.svg,"{'pentagon': 4, 'circle': 8, 'rectangle': 2, 'triangle': 3, 'hexagon': 5, 'octagon': 2, 'star': 6}","(7, 3, -40)"
sweep_15_9.svg,"{'star': 2, 'triangle': 4, 'octagon': 1, 'rectangle': 1, 'pentagon': 1, 'circle': 2, 'hexagon': 3}","(7, 3, -40)"
sweep_16_0.svg,"{'octagon': 11, 'triangle': 2, 'rectangle': 2, 'hexagon': 1}","(7, 6, 10)"
sweep_16_1.svg,"{'star': 5, 'octagon': 6, 'triangle': 2, 'hexagon': 2}","(7, 6, 10)"
sweep_16_2.svg,"{'triangle': 3, 'hexagon': 3, 'rectangle': 1, 'pentagon': 1, 'circle': 1, 'octagon': 2, 'star': 2}","(7, 6, 10)"
sweep_16_3.svg,"{'octagon': 3, 'hexagon': 4, 'star': 6, 'triangle': 3, 'pentagon': 1}","(7, 6, 10)"
sweep_16_4.svg,"{'triangle': 3, 'star': 5, 'octagon': 5}","(7, 6, 10)"
sweep_16_5.svg,"{'rectangle': 4, 'hexagon': 5, 'star': 3}","(7, 6, 10)"
sweep_16_6.svg,"{'circle': 10, 'triangle': 1, 'hexagon': 1}","(7, 6, 10)"
sweep_16_7.svg,"{'octagon': 6, 'hexagon': 4, 'circle': 1}","(7, 6, 10)"
sweep_16_8.svg,"{'rectangle': 3, 'pentagon': 5, 'octagon': 2, 'circle': 1}","(7, 6, 10)"
sweep_16_9.svg,"{'hexagon': 4, 'octagon': 8, 'star': 2}","(7, 6, 10)"
sweep_17_0.svg,"{'triangle': 3, 'octagon': 2, 'rectangle': 1, 'star': 4, 'circle': 5, 'pentagon': 2}","(7, 6, -20)"
sweep_17_1.svg,"{'triangle': 3, 'octagon': 3, 'circle': 6, 'pentagon': 1, 'hexagon': 4, 'rectangle': 5, 'star': 1}","(7, 6, -20)"
sweep_17_2.svg,"{'triangle': 3, 'circle': 10, 'octagon': 2, 'rectangle': 5, 'pentagon': 4, 'hexagon': 1}","(7, 6, -20)"
sweep_17_3.svg,"{'circle': 5, 'octagon': 4, 'pentagon': 2, 'triangle': 6, 'rectangle': 3}","(7, 6, -20)"
sweep_17_4.svg,"{'hexagon': 12, 'star': 7, 'rectangle': 7, 'triangle': 6, 'pentagon': 2, 'octagon': 3, 'circle': 2}","(7, 6, -20)"
sweep_17_5.svg,"{'hexagon': 8, 'circle': 2, 'octagon': 5, 'triangle': 5, 'pentagon': 2, 'star': 3}","(7, 6, -20)"
sweep_17_6.svg,"{'circle': 8, 'triangle': 8, 'hexagon': 2, 'pentagon': 2, 'rectangle': 2, 'star': 3, 'octagon': 2}","(7, 6, -20)"
sweep_17_7.svg,"{'pentagon': 1, 'triangle': 5, 'octagon': 6, 'star': 3, 'rectangle': 1, 'hexagon': 2, 'circle': 2}","(7, 6, -20)"
sweep_17_8.svg,"{'octagon': 6, 'circle': 9, 'pentagon': 5, 'star': 1, 'triangle': 1}","(7, 6, -20)"
sweep_17_9.svg,"{'octagon': 1, 'hexagon': 6, 'star': 1, 'circle': 5, 'pentagon': 3, 'rectangle': 5}","(7, 6, -20)"
sweep_18_0.svg,"{'hexagon': 4, 'circle': 6, 'triangle': 8, 'star': 9, 'pentagon': 4, 'rectangle': 2, 'octagon': 4}","(7, 6, -30)"
sweep_18_1.svg,"{'circle': 10, 'octagon': 10, 'star': 3, 'triangle': 5, 'hexagon': 3, 'pentagon': 2, 'rectangle': 5}","(7, 6, -30)"
sweep_18_2.svg,"{'triangle': 1, 'octagon': 2, 'pentagon': 5, 'star': 5, 'circle': 10, 'hexagon': 7, 'rectangle': 7}","(7, 6, -30)"
sweep_18_3.svg,"{'star': 9, 'circle': 4, 'pentagon': 10, 'hexagon': 9, 'triangle': 11, 'octagon': 1, 'rectangle': 3}","(7, 6, -30)"
sweep_18_4.svg,"{'star': 4, 'hexagon': 5, 'pentagon': 12, 'circle': 7, 'octagon': 8, 'rectangle': 4}","(7, 6, -30)"
sweep_18_5.svg,"{'star': 2, 'triangle': 7, 'hexagon': 4, 'octagon': 8, 'rectangle': 8, 'pentagon': 6}","(7, 6, -30)"
sweep_18_6.svg,"{'rectangle': 2, 'octagon': 1, 'triangle': 5, 'pentagon': 6, 'star': 2, 'hexagon': 8, 'circle': 2}","(7, 6, -30)"
sweep_18_7.svg,"{'hexagon': 1, 'pentagon': 6, 'octagon': 3, 'circle': 4, 'star': 6, 'triangle': 6, 'rectangle': 4}","(7, 6, -30)"
sweep_18_8.svg,"{'star': 3, 'triangle': 6, 'pentagon': 7, 'hexagon': 3, 'circle': 3, 'rectangle': 1, 'octagon': 2}","(7, 6, -30)"
sweep_18_9.svg,"{'octagon': 6, 'pentagon': 8, 'rectangle': 4, 'hexagon': 5, 'star': 3, 'circle': 9}","(7, 6, -30)"
sweep_19_0.svg,"{'pentagon': 8, 'rectangle': 2, 'star': 8, 'circle': 8, 'triangle': 2, 'octagon': 5, 'hexagon': 4}","(7, 6, -40)"
sweep_19_1.svg,"{'triangle': 4, 'pentagon': 7, 'rectangle': 2, 'star': 4, 'octagon': 7, 'hexagon': 2, 'circle': 1}","(7, 6, -40)"
sweep_19_2.svg,"{'octagon': 1, 'triangle': 2, 'rectangle': 2, 'circle': 1, 'pentagon': 7, 'hexagon': 2, 'star': 3}","(7, 6, -40)"
sweep_19_3.svg,"{'pentagon': 6, 'hexagon': 4, 'octagon': 6, 'circle': 8, 'rectangle': 2, 'star': 9, 'triangle': 6}","(7, 6, -40)"
sweep_19_4.svg,"{'octagon': 3, 'hexagon': 3, 'triangle': 4, 'circle': 10, 'pentagon': 3, 'rectangle': 7, 'star': 2}","(7, 6, -40)"
sweep_19_5.svg,"{'octagon': 2, 'pentagon': 1, 'circle': 4, 'triangle': 4, 'star': 6, 'rectangle': 4, 'hexagon': 5}","(7, 6, -40)"
sweep_19_6.svg,"{'triangle': 3, 'circle': 5, 'star': 6, 'hexagon': 7, 'octagon': 3, 'pentagon': 5, 'rectangle': 1}","(7, 6, -40)"
sweep_19_7.svg,"{'pentagon': 8, 'octagon': 3, 'hexagon': 1, 'circle': 4, 'star': 5, 'rectangle': 5, 'triangle': 8}","(7, 6, -40)"
sweep_19_8.svg,"{'triangle': 7, 'octagon': 5, 'pentagon': 1, 'hexagon': 1, 'circle': 5, 'rectangle': 4, 'star': 8}","(7, 6, -40)"
sweep_19_9.svg,"{'star': 8, 'rectangle': 4, 'octagon': 9, 'pentagon': 5, 'circle': 10, 'hexagon': 3}","(7, 6, -40)"
sweep_20_0.svg,"{'pentagon': 8, 'triangle': 1, 'octagon': 2}","(7, 10, 10)"
sweep_20_1.svg,"{'star': 15, 'circle': 1, 'octagon': 1}","(7, 10, 10)"
sweep_20_2.svg,"{'hexagon': 11, 'rectangle': 5, 'octagon': 3}","(7, 10, 10)"
sweep_20_3.svg,"{'rectangle': 11, 'circle': 3, 'octagon': 3}","(7, 10, 10)"
sweep_20_4.svg,"{'circle': 11, 'star': 1, 'triangle': 1}","(7, 10, 10)"
sweep_20_5.svg,"{'circle': 10, 'star': 4}","(7, 10, 10)"
sweep_20_6.svg,"{'hexagon': 5, 'triangle': 9, 'rectangle': 2, 'octagon': 2, 'circle': 1}","(7, 10, 10)"
sweep_20_7.svg,"{'hexagon': 3, 'octagon': 5, 'triangle': 3}","(7, 10, 10)"
sweep_20_8.svg,"{'triangle': 6, 'rectangle': 6, 'star': 1, 'octagon': 1}","(7, 10, 10)"
sweep_20_9.svg,"{'hexagon': 9, 'star': 1, 'triangle': 1}","(7, 10, 10)"
sweep_21_0.svg,"{'circle': 14, 'rectangle': 8, 'octagon': 6, 'star': 1}","(7, 10, -20)"
sweep_21_1.svg,"{'rectangle': 8, 'pentagon': 9, 'hexagon': 4, 'circle': 1, 'triangle': 4}","(7, 10, -20)"
sweep_21_2.svg,"{'triangle': 3, 'star': 9, 'hexagon': 4, 'pentagon': 4, 'circle': 4, 'octagon': 5}","(7, 10, -20)"
sweep_21_3.svg,"{'pentagon': 13, 'hexagon': 9, 'triangle': 3, 'circle': 6, 'rectangle': 1}","(7, 10, -20)"
sweep_21_4.svg,"{'star': 9, 'circle': 8, 'hexagon': 4, 'triangle': 2, 'octagon': 3, 'rectangle': 3}","(7, 10, -20)"
sweep_21_5.svg,"{'star': 11, 'octagon': 8, 'pentagon': 1, 'circle': 7}","(7, 10, -20)"
sweep_21_6.svg,"{'hexagon': 12, 'pentagon': 13, 'rectangle': 4, 'star': 2, 'triangle': 2}","(7, 10, -20)"
sweep_21_7.svg,"{'octagon': 4, 'hexagon': 1, 'star': 12, 'rectangle': 7, 'circle': 3, 'pentagon': 9, 'triangle': 1}","(7, 10, -20)"
sweep_21_8.svg,"{'pentagon': 16, 'octagon': 3, 'circle': 1, 'triangle': 3, 'star': 1, 'rectangle': 1, 'hexagon': 5}","(7, 10, -20)"
sweep_21_9.svg,"{'octagon': 10, 'star': 7, 'triangle': 4, 'pentagon': 2, 'rectangle': 1, 'circle': 2, 'hexagon': 3}","(7, 10, -20)"
sweep_22_0.svg,"{'pentagon': 3, 'rectangle': 4, 'hexagon': 10, 'circle': 6, 'octagon': 9, 'triangle': 4, 'star': 1}","(7, 10, -30)"
sweep_22_1.svg,"{'octagon': 13, 'rectangle': 7, 'circle': 9, 'pentagon': 9, 'hexagon': 1, 'star': 3}","(7, 10, -30)"
sweep_22_2.svg,"{'hexagon': 7, 'rectangle': 4, 'octagon': 12, 'star': 8, 'circle': 6, 'pentagon': 2, 'triangle': 1}","(7, 10, -30)"
