filename,answer,sweep
145.svg,3,"(25, 1.1, 1.4, 1)"
146.svg,3,"(25, 1.1, 1.4, 1)"
147.svg,2,"(25, 1.1, 1.4, 1)"
148.svg,2,"(25, 1.1, 1.4, 1)"
149.svg,2,"(25, 1.1, 1.4, 1)"
150.svg,2,"(25, 1.4, 0.8, 0)"
151.svg,1,"(25, 1.4, 0.8, 0)"
152.svg,4,"(25, 1.4, 0.8, 0)"
153.svg,1,"(25, 1.4, 0.8, 0)"
154.svg,3,"(25, 1.4, 0.8, 0)"
155.svg,2,"(25, 1.4, 0.8, 1)"
156.svg,4,"(25, 1.4, 0.8, 1)"
157.svg,2,"(25, 1.4, 0.8, 1)"
158.svg,2,"(25, 1.4, 0.8, 1)"
159.svg,4,"(25, 1.4, 0.8, 1)"
160.svg,1,"(25, 1.4, 1.1, 0)"
161.svg,2,"(25, 1.4, 1.1, 0)"
162.svg,1,"(25, 1.4, 1.1, 0)"
163.svg,2,"(25, 1.4, 1.1, 0)"
164.svg,4,"(25, 1.4, 1.1, 0)"
165.svg,1,"(25, 1.4, 1.1, 1)"
166.svg,1,"(25, 1.4, 1.1, 1)"
167.svg,1,"(25, 1.4, 1.1, 1)"
168.svg,1,"(25, 1.4, 1.1, 1)"
169.svg,4,"(25, 1.4, 1.1, 1)"
170.svg,2,"(25, 1.4, 1.4, 0)"
171.svg,3,"(25, 1.4, 1.4, 0)"
172.svg,4,"(25, 1.4, 1.4, 0)"
173.svg,1,"(25, 1.4, 1.4, 0)"
174.svg,3,"(25, 1.4, 1.4, 0)"
175.svg,4,"(25, 1.4, 1.4, 1)"
176.svg,2,"(25, 1.4, 1.4, 1)"
177.svg,3,"(25, 1.4, 1.4, 1)"
178.svg,2,"(25, 1.4, 1.4, 1)"
179.svg,2,"(25, 1.4, 1.4, 1)"
180.svg,1,"(50, 0.8, 0.8, 0)"
181.svg,1,"(50, 0.8, 0.8, 0)"
182.svg,3,"(50, 0.8, 0.8, 0)"
183.svg,3,"(50, 0.8, 0.8, 0)"
184.svg,2,"(50, 0.8, 0.8, 0)"
185.svg,2,"(50, 0.8, 0.8, 1)"
186.svg,2,"(50, 0.8, 0.8, 1)"
187.svg,3,"(50, 0.8, 0.8, 1)"
188.svg,1,"(50, 0.8, 0.8, 1)"
189.svg,1,"(50, 0.8, 0.8, 1)"
190.svg,1,"(50, 0.8, 1.1, 0)"
191.svg,2,"(50, 0.8, 1.1, 0)"
192.svg,3,"(50, 0.8, 1.1, 0)"
193.svg,3,"(50, 0.8, 1.1, 0)"
194.svg,4,"(50, 0.8, 1.1, 0)"
195.svg,1,"(50, 0.8, 1.1, 1)"
196.svg,2,"(50, 0.8, 1.1, 1)"
197.svg,3,"(50, 0.8, 1.1, 1)"
198.svg,2,"(50, 0.8, 1.1, 1)"
199.svg,3,"(50, 0.8, 1.1, 1)"
200.svg,3,"(50, 0.8, 1.4, 0)"
201.svg,1,"(50, 0.8, 1.4, 0)"
202.svg,1,"(50, 0.8, 1.4, 0)"
203.svg,1,"(50, 0.8, 1.4, 0)"
204.svg,3,"(50, 0.8, 1.4, 0)"
205.svg,1,"(50, 0.8, 1.4, 1)"
206.svg,3,"(50, 0.8, 1.4, 1)"
207.svg,1,"(50, 0.8, 1.4, 1)"
208.svg,4,"(50, 0.8, 1.4, 1)"
209.svg,4,"(50, 0.8, 1.4, 1)"
210.svg,3,"(50, 1.1, 0.8, 0)"
211.svg,3,"(50, 1.1, 0.8, 0)"
212.svg,1,"(50, 1.1, 0.8, 0)"
213.svg,1,"(50, 1.1, 0.8, 0)"
214.svg,2,"(50, 1.1, 0.8, 0)"
215.svg,3,"(50, 1.1, 0.8, 1)"
216.svg,2,"(50, 1.1, 0.8, 1)"
217.svg,3,"(50, 1.1, 0.8, 1)"
218.svg,2,"(50, 1.1, 0.8, 1)"
219.svg,1,"(50, 1.1, 0.8, 1)"
220.svg,3,"(50, 1.1, 1.1, 0)"
221.svg,4,"(50, 1.1, 1.1, 0)"
222.svg,3,"(50, 1.1, 1.1, 0)"
223.svg,2,"(50, 1.1, 1.1, 0)"
224.svg,4,"(50, 1.1, 1.1, 0)"
225.svg,3,"(50, 1.1, 1.1, 1)"
226.svg,3,"(50, 1.1, 1.1, 1)"
227.svg,4,"(50, 1.1, 1.1, 1)"
228.svg,1,"(50, 1.1, 1.1, 1)"
229.svg,4,"(50, 1.1, 1.1, 1)"
230.svg,2,"(50, 1.1, 1.4, 0)"
231.svg,4,"(50, 1.1, 1.4, 0)"
232.svg,2,"(50, 1.1, 1.4, 0)"
233.svg,3,"(50, 1.1, 1.4, 0)"
234.svg,4,"(50, 1.1, 1.4, 0)"
235.svg,2,"(50, 1.1, 1.4, 1)"
236.svg,2,"(50, 1.1, 1.4, 1)"
237.svg,2,"(50, 1.1, 1.4, 1)"
238.svg,2,"(50, 1.1, 1.4, 1)"
239.svg,2,"(50, 1.1, 1.4, 1)"
240.svg,2,"(50, 1.4, 0.8, 0)"
241.svg,2,"(50, 1.4, 0.8, 0)"
242.svg,4,"(50, 1.4, 0.8, 0)"
243.svg,3,"(50, 1.4, 0.8, 0)"
244.svg,2,"(50, 1.4, 0.8, 0)"
245.svg,2,"(50, 1.4, 0.8, 1)"
246.svg,4,"(50, 1.4, 0.8, 1)"
247.svg,1,"(50, 1.4, 0.8, 1)"
248.svg,4,"(50, 1.4, 0.8, 1)"
249.svg,4,"(50, 1.4, 0.8, 1)"
250.svg,1,"(50, 1.4, 1.1, 0)"
251.svg,2,"(50, 1.4, 1.1, 0)"
252.svg,1,"(50, 1.4, 1.1, 0)"
253.svg,3,"(50, 1.4, 1.1, 0)"
254.svg,2,"(50, 1.4, 1.1, 0)"
255.svg,4,"(50, 1.4, 1.1, 1)"
256.svg,3,"(50, 1.4, 1.1, 1)"
257.svg,3,"(50, 1.4, 1.1, 1)"
258.svg,2,"(50, 1.4, 1.1, 1)"
259.svg,3,"(50, 1.4, 1.1, 1)"
260.svg,1,"(50, 1.4, 1.4, 0)"
261.svg,4,"(50, 1.4, 1.4, 0)"
262.svg,2,"(50, 1.4, 1.4, 0)"
263.svg,1,"(50, 1.4, 1.4, 0)"
264.svg,1,"(50, 1.4, 1.4, 0)"
265.svg,2,"(50, 1.4, 1.4, 1)"
266.svg,4,"(50, 1.4, 1.4, 1)"
267.svg,2,"(50, 1.4, 1.4, 1)"
268.svg,1,"(50, 1.4, 1.4, 1)"
269.svg,1,"(50, 1.4, 1.4, 1)"
